year,KOEN,ALDER,FGNF,FGAKTIV,FGA,FGB,FGCX,nettoform_u_pf,FGPASSIV
2018,2,80,1108959.9232,1289888.1098,623998.23577,371575.62435,294314.24967,814645.67352,180928.18661
2018,2,81,1080313.2585,1250340.8162,613848.90049,377444.84908,259047.06664,821266.19189,170027.55769
2018,2,82,1059541.492,1216743.7314,599233.00761,382247.77642,235262.94734,824278.54466,157202.23937
2018,2,83,1027781.4099,1173292.3606,588011.47878,374649.66873,210631.21309,817150.19683,145510.95067
2018,2,84,1019298.4708,1168576.2204,592058.13671,385887.04799,190631.03572,828667.43504,149277.74965
2018,2,85,1016477.5348,1145179.1339,578411.67043,388510.78762,178256.67582,838220.85902,128701.59904
2018,2,86,1028025.0876,1155840.024,589144.34596,396993.74235,169701.93566,858323.15198,127814.93633
2018,2,87,1006135.5815,1129724.5433,578120.02068,405318.61877,146285.90385,859849.67767,123588.96178
2018,2,88,1002337.1785,1115914.5342,563471.24382,415381.80154,137061.48884,865275.68965,113577.35571
2018,2,89,992625.53072,1104479.8595,560576.50479,421848.38192,122054.97279,870570.55793,111854.32878
2018,2,90,952203.63394,1061457.4895,544012.12597,407329.98855,110115.37496,842088.25898,109253.85554
2018,2,91,968226.34177,1062902.2374,528608.1807,433687.44561,100606.61108,867619.73069,94675.895615
2018,2,92,961867.1065,1061186.7089,531391.8354,443697.77521,86097.098295,875770.00821,99319.602399
2018,2,93,938330.10348,1021624.6379,487395.73342,455794.35845,78434.546065,859895.55742,83294.534452
2018,2,94,923000.67959,1011548.2115,510551.87792,428979.63858,72016.69497,850983.98462,88547.531881
2018,2,95,878135.26901,955339.25564,458718.83918,432948.94027,63671.47619,814463.79282,77203.986633
2018,2,96,841505.1696,914070.49483,412865.01581,448262.85046,52942.628571,788562.54103,72565.325228
2018,2,97,917939.57175,988107.73842,462463.71525,476280.23617,49363.786996,868575.78475,70168.166667
2018,2,98,908492.37087,986707.10331,474997.90702,472679.09711,39030.099174,869462.27169,78214.732438
2018,2,99,873464.43894,941167.99505,440025.21452,462089.87954,39052.90099,834411.53795,67703.556106
2018,2,100,764116.5508,812283.19519,346074.93048,427859.12299,38349.141711,725767.40909,48166.644385
